timecode,seconds,lat,lat_dir,lon,lon_dir,sensor,voltage,trigger_num,trigger_time_small,matched_time_large,match_time_diff,relative_row,relative_time
260401_162212_800,58932.801,4159.9844,N,8739.4453,W,11,0.0033571384972227,2,73140,58936.0,14204.0,-32,-3.199000000000524
260401_162212_900,58932.898,4159.9844,N,8739.4453,W,12,0.0036623329060611,2,73140,58936.0,14204.0,-31,-3.1019999999989523
260401_162213_000,58933.0,4159.9844,N,8739.4453,W,12,0.0036623329060611,2,73140,58936.0,14204.0,-30,-3.0
260401_162213_100,58933.102,4159.9844,N,8739.4453,W,11,0.0033571384972227,2,73140,58936.0,14204.0,-29,-2.8980000000010477
260401_162213_200,58933.199,4159.9844,N,8739.4453,W,11,0.0033571384972227,2,73140,58936.0,14204.0,-28,-2.800999999999476
260401_162213_300,58933.301,4159.9844,N,8739.4453,W,11,0.0033571384972227,2,73140,58936.0,14204.0,-27,-2.699000000000524
260401_162213_400,58933.398,4159.9844,N,8739.4453,W,11,0.0033571384972227,2,73140,58936.0,14204.0,-26,-2.6019999999989523
260401_162213_500,58933.5,4159.9844,N,8739.4453,W,12,0.0036623329060611,2,73140,58936.0,14204.0,-25,-2.5
260401_162213_600,58933.602,4159.9844,N,8739.4453,W,10,0.0030519440883843,2,73140,58936.0,14204.0,-24,-2.3980000000010477
260401_162213_700,58933.699,4159.9844,N,8739.4453,W,11,0.0033571384972227,2,73140,58936.0,14204.0,-23,-2.300999999999476
260401_162213_800,58933.801,4159.9844,N,8739.4453,W,12,0.0036623329060611,2,73140,58936.0,14204.0,-22,-2.199000000000524
260401_162213_900,58933.898,4159.9844,N,8739.4453,W,12,0.0036623329060611,2,73140,58936.0,14204.0,-21,-2.1019999999989523
260401_162214_000,58934.0,4159.9844,N,8739.4453,W,11,0.0033571384972227,2,73140,58936.0,14204.0,-20,-2.0
260401_162214_100,58934.102,4159.9844,N,8739.4453,W,12,0.0036623329060611,2,73140,58936.0,14204.0,-19,-1.8980000000010477
260401_162214_200,58934.199,4159.9844,N,8739.4453,W,11,0.0033571384972227,2,73140,58936.0,14204.0,-18,-1.8009999999994761
260401_162214_300,58934.301,4159.9844,N,8739.4453,W,12,0.0036623329060611,2,73140,58936.0,14204.0,-17,-1.6990000000005239
260401_162214_400,58934.398,4159.9844,N,8739.4453,W,12,0.0036623329060611,2,73140,58936.0,14204.0,-16,-1.6019999999989523
