timecode,seconds,lat,lat_dir,lon,lon_dir,sensor,trigger_num,trigger_time_small,matched_time_large,match_time_diff,relative_row,relative_time
260330_201656_300,73016.297,4159.9844,N,8739.4414,W,218,1,73020,73020.0,0.0,-37,-3.702999999994063
260330_201656_400,73016.398,4159.9844,N,8739.4414,W,222,1,73020,73020.0,0.0,-36,-3.6019999999989523
260330_201656_500,73016.5,4159.9844,N,8739.4414,W,224,1,73020,73020.0,0.0,-35,-3.5
260330_201656_600,73016.602,4159.9844,N,8739.4414,W,224,1,73020,73020.0,0.0,-34,-3.3980000000010477
260330_201656_700,73016.703,4159.9844,N,8739.4414,W,223,1,73020,73020.0,0.0,-33,-3.297000000005937
260330_201656_800,73016.797,4159.9844,N,8739.4414,W,223,1,73020,73020.0,0.0,-32,-3.202999999994063
260330_201656_900,73016.898,4159.9844,N,8739.4414,W,223,1,73020,73020.0,0.0,-31,-3.1019999999989523
260330_201657_000,73017.0,4159.9844,N,8739.4414,W,222,1,73020,73020.0,0.0,-30,-3.0
260330_201657_100,73017.102,4159.9844,N,8739.4414,W,222,1,73020,73020.0,0.0,-29,-2.8980000000010477
260330_201657_200,73017.203,4159.9844,N,8739.4414,W,221,1,73020,73020.0,0.0,-28,-2.797000000005937
260330_201657_300,73017.297,4159.9844,N,8739.4414,W,221,1,73020,73020.0,0.0,-27,-2.702999999994063
260330_201657_400,73017.398,4159.9844,N,8739.4414,W,220,1,73020,73020.0,0.0,-26,-2.6019999999989523
260330_201657_500,73017.5,4159.9844,N,8739.4414,W,219,1,73020,73020.0,0.0,-25,-2.5
260330_201657_600,73017.602,4159.9844,N,8739.4414,W,202,1,73020,73020.0,0.0,-24,-2.3980000000010477
260330_201657_700,73017.703,4159.9844,N,8739.4414,W,202,1,73020,73020.0,0.0,-23,-2.297000000005937
260330_201657_800,73017.797,4159.9844,N,8739.4414,W,205,1,73020,73020.0,0.0,-22,-2.202999999994063
260330_201657_900,73017.898,4159.9844,N,8739.4414,W,206,1,73020,73020.0,0.0,-21,-2.1019999999989523
260330_201658_000,73018.0,4159.9844,N,8739.4414,W,208,1,73020,73020.0,0.0,-20,-2.0
260330_201658_100,73018.102,4159.9844,N,8739.4414,W,209,1,73020,73020.0,0.0,-19,-1.8980000000010477
260330_201658_200,73018.203,4159.9844,N,8739.4414,W,210,1,73020,73020.0,0.0,-18,-1.7970000000059372
260330_201658_300,73018.297,4159.9844,N,8739.4414,W,209,1,73020,73020.0,0.0,-17,-1.7029999999940628
260330_201658_400,73018.398,4159.9844,N,8739.4414,W,205,1,73020,73020.0,0.0,-16,-1.6019999999989523
260330_201658_500,73018.5,4159.9844,N,8739.4414,W,223,1,73020,73020.0,0.0,-15,-1.5
260330_201658_600,73018.602,4159.9844,N,8739.4414,W,221,1,73020,73020.0,0.0,-14,-1.3980000000010477
260330_201658_700,73018.703,4159.9844,N,8739.4414,W,230,1,73020,73020.0,0.0,-13,-1.2970000000059372
260330_201658_800,73018.797,4159.9844,N,8739.4414,W,232,1,73020,73020.0,0.0,-12,-1.2029999999940628
260330_201658_900,73018.898,4159.9844,N,8739.4414,W,234,1,73020,73020.0,0.0,-11,-1.1019999999989523
260330_201659_000,73019.0,4159.9844,N,8739.4414,W,239,1,73020,73020.0,0.0,-10,-1.0
260330_201659_100,73019.102,4159.9844,N,8739.4414,W,247,1,73020,73020.0,0.0,-9,-0.8980000000010477
260330_201659_200,73019.203,4159.9844,N,8739.4414,W,255,1,73020,73020.0,0.0,-8,-0.7970000000059372
260330_201659_300,73019.297,4159.9844,N,8739.4414,W,263,1,73020,73020.0,0.0,-7,-0.7029999999940628
260330_201659_400,73019.398,4159.9844,N,8739.4414,W,269,1,73020,73020.0,0.0,-6,-0.6019999999989523
260330_201659_500,73019.5,4159.9844,N,8739.4414,W,278,1,73020,73020.0,0.0,-5,-0.5
260330_201659_600,73019.602,4159.9844,N,8739.4414,W,285,1,73020,73020.0,0.0,-4,-0.39800000000104774
260330_201659_700,73019.703,4159.9844,N,8739.4414,W,294,1,73020,73020.0,0.0,-3,-0.2970000000059372
260330_201659_800,73019.797,4159.9844,N,8739.4414,W,303,1,73020,73020.0,0.0,-2,-0.20299999999406282
260330_201659_900,73019.898,4159.9844,N,8739.4414,W,312,1,73020,73020.0,0.0,-1,-0.10199999999895226
260330_201700_000,73020.0,4159.9844,N,8739.4414,W,322,1,73020,73020.0,0.0,0,0.0
260330_201700_100,73020.102,4159.9844,N,8739.4414,W,331,1,73020,73020.0,0.0,1,0.10199999999895226
