timecode,lat,lat_dir,lon,lon_dir,sensor
260324_015337_300,4159.9175,N,8739.6250,W,209
260324_015337_400,4159.9175,N,8739.6250,W,209
260324_015337_500,4159.9175,N,8739.6250,W,209
260324_015337_600,4159.9175,N,8739.6250,W,209
260324_015337_700,4159.9175,N,8739.6250,W,209
260324_015337_800,4159.9175,N,8739.6250,W,209
260324_015337_900,4159.9175,N,8739.6250,W,209
260324_015338_000,4159.9189,N,8739.6250,W,209
260324_015338_100,4159.9189,N,8739.6250,W,209
260324_015338_200,4159.9189,N,8739.6250,W,209
260324_015338_300,4159.9189,N,8739.6250,W,209
260324_015338_400,4159.9189,N,8739.6250,W,209
260324_015338_500,4159.9189,N,8739.6250,W,209
260324_015338_600,4159.9189,N,8739.6250,W,209
260324_015338_700,4159.9189,N,8739.6250,W,209
260324_015338_800,4159.9189,N,8739.6250,W,209
260324_015338_900,4159.9189,N,8739.6250,W,209
260324_015339_000,4159.9209,N,8739.6240,W,209
260324_015339_100,4159.9209,N,8739.6240,W,209
260324_015339_200,4159.9209,N,8739.6240,W,209
260324_015339_300,4159.9209,N,8739.6240,W,209
260324_015339_400,4159.9209,N,8739.6240,W,209
260324_015339_500,4159.9209,N,8739.6240,W,209
260324_015339_600,4159.9209,N,8739.6240,W,209
260324_015339_700,4159.9209,N,8739.6240,W,209
260324_015339_800,4159.9209,N,8739.6240,W,209
260324_015339_900,4159.9209,N,8739.6240,W,209
260324_015340_000,4159.9229,N,8739.6230,W,209
260324_015340_100,4159.9229,N,8739.6230,W,209
260324_015340_200,4159.9229,N,8739.6230,W,209
260324_015340_300,4159.9229,N,8739.6230,W,209
260324_015340_400,4159.9229,N,8739.6230,W,209
260324_015340_500,4159.9229,N,8739.6230,W,209
260324_015340_600,4159.9229,N,8739.6230,W,209
260324_015340_700,4159.9229,N,8739.6230,W,209
260324_015340_800,4159.9229,N,8739.6230,W,209
260324_015340_900,4159.9229,N,8739.6230,W,209
260324_015341_000,4159.9238,N,8739.6230,W,209
260324_015341_100,4159.9238,N,8739.6230,W,209
260324_015341_200,4159.9238,N,8739.6230,W,209
260324_015341_300,4159.9238,N,8739.6230,W,208
260324_015341_400,4159.9238,N,8739.6230,W,209
260324_015341_500,4159.9238,N,8739.6230,W,209
260324_015341_600,4159.9238,N,8739.6230,W,209
260324_015341_700,4159.9238,N,8739.6230,W,209
260324_015341_800,4159.9238,N,8739.6230,W,209
260324_015341_900,4159.9238,N,8739.6230,W,209
260324_015342_000,4159.9253,N,8739.6221,W,209
260324_015342_100,4159.9253,N,8739.6221,W,209
260324_015342_200,4159.9253,N,8739.6221,W,209
260324_015342_300,4159.9253,N,8739.6221,W,209
260324_015342_400,4159.9253,N,8739.6221,W,209
260324_015342_500,4159.9253,N,8739.6221,W,209
260324_015342_600,4159.9253,N,8739.6221,W,209
260324_015342_700,4159.9253,N,8739.6221,W,209
260324_015342_800,4159.9253,N,8739.6221,W,209
260324_015342_900,4159.9253,N,8739.6221,W,209
260324_015343_000,4159.9268,N,8739.6211,W,209
260324_015343_100,4159.9268,N,8739.6211,W,209
260324_015343_200,4159.9268,N,8739.6211,W,209
260324_015343_300,4159.9268,N,8739.6211,W,209
260324_015343_400,4159.9268,N,8739.6211,W,209
260324_015343_500,4159.9268,N,8739.6211,W,209
260324_015343_600,4159.9268,N,8739.6211,W,209
260324_015343_700,4159.9268,N,8739.6211,W,209
260324_015343_800,4159.9268,N,8739.6211,W,209
260324_015343_900,4159.9268,N,8739.6211,W,209
260324_015344_000,4159.9268,N,8739.6211,W,209
260324_015344_000,4159.9277,N,8739.6211,W,209
260324_015344_100,4159.9277,N,8739.6211,W,209
260324_015344_200,4159.9277,N,8739.6211,W,209
260324_015344_300,4159.9277,N,8739.6211,W,209
260324_015344_400,4159.9277,N,8739.6211,W,209
260324_015344_500,4159.9277,N,8739.6211,W,209
260324_015344_600,4159.9277,N,8739.6211,W,209
260324_015344_700,4159.9277,N,8739.6211,W,209
