timecode,lat,lat_dir,lon,lon_dir,sensor
260324_221426_900,4200.0986,N,8739.4590,W,207
260324_221427_000,4200.1021,N,8739.4590,W,207
260324_221427_100,4200.1021,N,8739.4590,W,207
260324_221427_200,4200.1021,N,8739.4590,W,207
260324_221427_300,4200.1021,N,8739.4590,W,207
260324_221427_400,4200.1021,N,8739.4590,W,207
260324_221427_500,4200.1021,N,8739.4590,W,207
260324_221427_600,4200.1021,N,8739.4590,W,207
260324_221427_700,4200.1021,N,8739.4590,W,207
260324_221427_800,4200.1021,N,8739.4590,W,207
260324_221427_900,4200.1021,N,8739.4590,W,207
260324_221428_000,4200.1152,N,8739.4600,W,207
260324_221428_100,4200.1152,N,8739.4600,W,207
260324_221428_200,4200.1152,N,8739.4600,W,207
260324_221428_300,4200.1152,N,8739.4600,W,207
260324_221428_400,4200.1152,N,8739.4600,W,207
260324_221428_500,4200.1152,N,8739.4600,W,207
260324_221428_600,4200.1152,N,8739.4600,W,207
260324_221428_700,4200.1152,N,8739.4600,W,207
260324_221428_800,4200.1152,N,8739.4600,W,207
260324_221428_900,4200.1152,N,8739.4600,W,207
260324_221429_000,4200.1143,N,8739.4590,W,207
260324_221429_100,4200.1143,N,8739.4590,W,207
260324_221429_200,4200.1143,N,8739.4590,W,207
260324_221429_300,4200.1143,N,8739.4590,W,207
260324_221429_400,4200.1143,N,8739.4590,W,207
260324_221429_500,4200.1143,N,8739.4590,W,207
260324_221429_600,4200.1143,N,8739.4590,W,207
260324_221429_700,4200.1143,N,8739.4590,W,207
260324_221429_800,4200.1143,N,8739.4590,W,207
260324_221429_900,4200.1143,N,8739.4590,W,207
260324_221430_000,4200.1099,N,8739.4590,W,207
260324_221430_100,4200.1099,N,8739.4590,W,207
260324_221430_200,4200.1099,N,8739.4590,W,207
260324_221430_300,4200.1099,N,8739.4590,W,207
260324_221430_400,4200.1099,N,8739.4590,W,207
260324_221430_500,4200.1099,N,8739.4590,W,207
260324_221430_600,4200.1099,N,8739.4590,W,207
260324_221430_700,4200.1099,N,8739.4590,W,207
260324_221430_800,4200.1099,N,8739.4590,W,207
260324_221430_900,4200.1099,N,8739.4590,W,207
260324_221431_000,4200.1045,N,8739.4600,W,207
260324_221431_100,4200.1045,N,8739.4600,W,207
260324_221431_200,4200.1045,N,8739.4600,W,207
260324_221431_300,4200.1045,N,8739.4600,W,207
260324_221431_400,4200.1045,N,8739.4600,W,207
260324_221431_500,4200.1045,N,8739.4600,W,207
260324_221431_600,4200.1045,N,8739.4600,W,207
260324_221431_700,4200.1045,N,8739.4600,W,207
260324_221431_800,4200.1045,N,8739.4600,W,207
260324_221431_900,4200.1045,N,8739.4600,W,207
260324_221432_000,4200.1030,N,8739.4590,W,207
260324_221432_100,4200.1030,N,8739.4590,W,207
260324_221432_200,4200.1030,N,8739.4590,W,207
260324_221432_300,4200.1030,N,8739.4590,W,207
260324_221432_400,4200.1030,N,8739.4590,W,207
260324_221432_500,4200.1030,N,8739.4590,W,207
260324_221432_600,4200.1030,N,8739.4590,W,207
260324_221432_700,4200.1030,N,8739.4590,W,207
260324_221432_800,4200.1030,N,8739.4590,W,207
260324_221432_900,4200.1030,N,8739.4590,W,207
260324_221433_000,4200.1040,N,8739.4600,W,207
260324_221433_100,4200.1040,N,8739.4600,W,207
260324_221433_200,4200.1040,N,8739.4600,W,207
260324_221433_300,4200.1040,N,8739.4600,W,207
260324_221433_400,4200.1040,N,8739.4600,W,207
260324_221433_500,4200.1040,N,8739.4600,W,207
260324_221433_600,4200.1040,N,8739.4600,W,207
260324_221433_700,4200.1040,N,8739.4600,W,207
260324_221433_800,4200.1040,N,8739.4600,W,207
260324_221433_900,4200.1040,N,8739.4600,W,207
260324_221434_000,4200.1040,N,8739.4600,W,207
260324_221434_100,4200.1040,N,8739.4600,W,207
260324_221434_200,4200.1040,N,8739.4600,W,207
260324_221434_300,4200.1040,N,8739.4600,W,207
260324_221434_400,4200.1040,N,8739.4600,W,207
260324_221434_500,4200.1040,N,8739.4600,W,207
260324_221434_600,4200.1040,N,8739.4600,W,207
260324_221434_700,4200.1040,N,8739.4600,W,207
260324_221434_800,4200.1040,N,8739.4600,W,207
260324_221434_900,4200.1040,N,8739.4600,W,207
260324_221435_000,4200.1050,N,8739.4600,W,207
260324_221435_100,4200.1050,N,8739.4600,W,207
260324_221435_200,4200.1050,N,8739.4600,W,207
260324_221435_300,4200.1050,N,8739.4600,W,207
260324_221435_400,4200.1050,N,8739.4600,W,207
260324_221435_500,4200.1050,N,8739.4600,W,207
260324_221435_600,4200.1050,N,8739.4600,W,207
260324_221435_700,4200.1050,N,8739.4600,W,207
260324_221435_800,4200.1050,N,8739.4600,W,207
260324_221435_900,4200.1050,N,8739.4600,W,207
260324_221436_000,4200.1099,N,8739.4600,W,207
260324_221436_100,4200.1099,N,8739.4600,W,207
260324_221436_200,4200.1099,N,8739.4600,W,207
260324_221436_300,4200.1099,N,8739.4600,W,207
260324_221436_400,4200.1099,N,8739.4600,W,207
260324_221436_500,4200.1099,N,8739.4600,W,207
260324_221436_600,4200.1099,N,8739.4600,W,207
260324_221436_700,4200.1099,N,8739.4600,W,207
260324_221436_800,4200.1099,N,8739.4600,W,207
260324_221436_900,4200.1099,N,8739.4600,W,207
260324_221513_000,4200.1221,N,8739.4492,W,280
260324_221513_100,4200.1221,N,8739.4492,W,267
260324_221513_200,4200.1221,N,8739.4492,W,257
260324_221513_300,4200.1221,N,8739.4492,W,249
260324_221513_400,4200.1221,N,8739.4492,W,243
260324_221513_500,4200.1221,N,8739.4492,W,238
260324_221513_600,4200.1221,N,8739.4492,W,234
260324_221513_700,4200.1221,N,8739.4492,W,230
260324_221513_800,4200.1221,N,8739.4492,W,227
260324_221513_900,4200.1221,N,8739.4492,W,224
260324_221514_000,4200.1187,N,8739.4482,W,221
260324_221514_100,4200.1187,N,8739.4482,W,219
260324_221514_200,4200.1187,N,8739.4482,W,218
260324_221514_300,4200.1187,N,8739.4482,W,216
260324_221514_400,4200.1187,N,8739.4482,W,215
260324_221514_500,4200.1187,N,8739.4482,W,214
260324_221514_600,4200.1187,N,8739.4482,W,214
260324_221514_700,4200.1187,N,8739.4482,W,213
260324_221514_800,4200.1187,N,8739.4482,W,212
